,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,WAP,hasGaps,Count
92,7/23/2018 10:46,9414.25,9415.05,9410.05,9410.70,118,9413.375,0,40
93,7/23/2018 10:47,9410.95,9420.80,9410.60,9415.05,69,9416.545,0,30
94,7/23/2018 10:48,9415.25,9418.40,9410.90,9411.50,67,9415.05,0,27
95,7/23/2018 10:49,9411.70,9416.10,9411.35,9414.35,102,9413.735,0,32
96,7/23/2018 10:50,9417.90,9425.00,9414.60,9419.35,187,9419.21,0,44
97,7/23/2018 10:51,9419.05,9420.35,9414.95,9416.15,67,9417.24,0,27
98,7/23/2018 10:52,9420.25,9422.05,9412.70,9419.35,201,9418.93,0,45
99,7/23/2018 10:53,9420.80,9420.60,9414.20,9418.40,99,9416.935,0,26
100,7/23/2018 10:54,9418.65,9422.00,9414.40,9414.55,153,9417.795,0,40
101,7/23/2018 10:55,9414.75,9418.75,9410.45,9415.30,141,9413.455,0,37
102,7/23/2018 10:56,9416.45,9418.50,9411.05,9412.55,99,9416.515,0,33
103,7/23/2018 10:57,9412.75,9420.35,9410.95,9416.75,117,9415.42,0,29
104,7/23/2018 10:58,9417.15,9422.00,9413.05,9413.20,94,9419.065,0,33
105,7/23/2018 10:59,9413.40,9420.75,9411.55,9419.40,100,9415.19,0,36
106,7/23/2018 11:00,9417.15,9419.85,9414.90,9417.55,94,9416.27,0,31
107,7/23/2018 11:01,9417.75,9417.60,9410.95,9411.20,382,9413.195,0,39
108,7/23/2018 11:02,9412.90,9414.50,9410.95,9412.05,205,9412.99,0,38
109,7/23/2018 11:03,9412.25,9414.85,9410.90,9411.10,447,9411.4,0,42
110,7/23/2018 11:04,9414.25,9418.05,9410.95,9416.65,160,9415.265,0,43
111,7/23/2018 11:05,9416.85,9418.05,9410.95,9411.75,106,9413.985,0,35
112,7/23/2018 11:06,9411.95,9415.10,9410.95,9413.05,101,9412.515,0,39
113,7/23/2018 11:07,9414.35,9420.05,9411.95,9413.60,102,9415.26,0,43
114,7/23/2018 11:08,9414.30,9420.60,9412.85,9418.05,97,9418.495,0,37
115,7/23/2018 11:09,9419.25,9420.05,9413.10,9413.25,238,9416.92,0,41
116,7/23/2018 11:10,9412.40,9413.25,9399.95,9402.80,194,9405.08,0,52
117,7/23/2018 11:11,9401.20,9407.60,9400.05,9400.65,264,9403.34,0,50
118,7/23/2018 11:12,9400.95,9409.05,9400.45,9405.75,199,9404.56,0,51
119,7/23/2018 11:13,9407.05,9407.00,9402.55,9404.65,95,9404.835,0,42
120,7/23/2018 11:14,9403.75,9407.05,9403.40,9406.55,86,9405.83,0,31
121,7/23/2018 11:15,9407.25,9412.90,9403.40,9405.70,171,9407.64,0,48
122,7/23/2018 11:16,9405.90,9410.75,9404.95,9410.75,181,9406.665,0,42
123,7/23/2018 11:17,9414.95,9417.40,9410.95,9415.55,163,9415.93,0,33
124,7/23/2018 11:18,9415.65,9415.55,9404.20,9414.05,137,9409.03,0,45
125,7/23/2018 11:19,9409.40,9415.05,9408.45,9414.15,101,9411.81,0,33
126,7/23/2018 11:20,9415.10,9419.05,9413.95,9415.05,115,9416.935,0,33
127,7/23/2018 11:21,9417.75,9422.05,9415.90,9416.05,158,9417.82,0,36
128,7/23/2018 11:22,9418.25,9419.25,9409.90,9412.05,106,9415.02,0,34
129,7/23/2018 11:23,9412.55,9418.00,9411.70,9417.50,140,9416.72,0,35
130,7/23/2018 11:24,9417.65,9417.50,9412.70,9415.05,78,9416.33,0,29
131,7/23/2018 11:25,9414.95,9415.50,9412.45,9413.35,121,9413.65,0,34
132,7/23/2018 11:26,9413.55,9414.40,9409.90,9413.40,112,9411.13,0,35
133,7/23/2018 11:27,9414.60,9415.05,9413.80,9414.95,104,9414.665,0,29
134,7/23/2018 11:28,9415.15,9415.05,9413.95,9414.95,96,9414.56,0,27
135,7/23/2018 11:29,9414.80,9416.05,9412.95,9413.65,103,9414.365,0,38
136,7/23/2018 11:30,9412.60,9419.60,9411.40,9413.60,154,9415.86,0,36
137,7/23/2018 11:31,9413.90,9419.50,9410.95,9416.85,182,9414.765,0,33
138,7/23/2018 11:32,9413.70,9419.55,9411.45,9418.25,105,9415.105,0,38
139,7/23/2018 11:33,9418.30,9420.05,9413.30,9416.95,180,9417.435,0,32
140,7/23/2018 11:34,9417.25,9420.05,9411.90,9417.05,156,9417.38,0,38
141,7/23/2018 11:35,9417.25,9420.05,9413.20,9414.55,182,9415.185,0,38
142,7/23/2018 11:36,9413.10,9415.05,9410.35,9410.50,132,9412.065,0,36
143,7/23/2018 11:37,9410.70,9420.05,9409.90,9419.00,197,9411.695,0,42
144,7/23/2018 11:38,9419.75,9419.55,9410.70,9413.05,115,9413.05,0,40
145,7/23/2018 11:39,9414.30,9419.50,9413.10,9415.05,104,9416.475,0,24
146,7/23/2018 11:40,9416.35,9419.75,9415.45,9419.00,126,9418.465,0,38
147,7/23/2018 11:41,9417.75,9420.05,9417.40,9420.00,155,9419.575,0,39
148,7/23/2018 11:42,9420.25,9420.50,9417.20,9418.55,114,9419.455,0,41
149,7/23/2018 11:43,9418.75,9421.00,9417.20,9418.60,326,9419.795,0,48
150,7/23/2018 11:44,9417.40,9417.25,9409.90,9411.05,240,9411.88,0,39
151,7/23/2018 11:45,9412.05,9416.05,9408.90,9410.85,109,9411.285,0,28
152,7/23/2018 11:46,9411.25,9415.05,9410.40,9410.55,94,9411.005,0,28
153,7/23/2018 11:47,9411.55,9419.00,9410.40,9412.60,97,9415.325,0,35
154,7/23/2018 11:48,9413.05,9416.00,9410.40,9411.75,144,9412.315,0,36
155,7/23/2018 11:49,9411.95,9420.00,9411.60,9413.60,51,9416.71,0,31
156,7/23/2018 11:50,9413.85,9419.00,9413.45,9418.95,40,9418.235,0,26
157,7/23/2018 11:51,9419.25,9420.05,9418.70,9419.90,107,9419.25,0,38
158,7/23/2018 11:52,9420.25,9420.05,9415.45,9415.65,168,9419.8,0,31
159,7/23/2018 11:53,9416.75,9420.05,9411.60,9417.00,375,9415.01,0,38
160,7/23/2018 11:54,9418.05,9424.05,9409.90,9412.80,238,9413.605,0,49
161,7/23/2018 11:55,9413.00,9419.85,9412.65,9417.30,51,9417.155,0,31
162,7/23/2018 11:56,9418.50,9419.05,9415.45,9416.20,112,9417.79,0,32
163,7/23/2018 11:57,9418.20,9419.65,9415.15,9418.15,81,9418.285,0,30
164,7/23/2018 11:58,9418.35,9422.00,9417.95,9420.00,187,9419.785,0,46
165,7/23/2018 11:59,9420.20,9420.85,9411.90,9412.75,216,9418.405,0,39
166,7/23/2018 12:00,9412.25,9417.00,9411.60,9416.55,189,9413.235,0,30
167,7/23/2018 12:01,9419.25,9419.05,9410.95,9411.10,101,9415.735,0,38
168,7/23/2018 12:02,9411.30,9418.05,9410.95,9416.15,59,9416.03,0,29
169,7/23/2018 12:03,9416.35,9419.00,9415.10,9418.00,214,9417.67,0,28
170,7/23/2018 12:04,9417.25,9420.05,9416.90,9418.85,118,9418.97,0,30
171,7/23/2018 12:05,9420.20,9420.05,9413.10,9413.70,210,9419.275,0,41
172,7/23/2018 12:06,9417.25,9420.05,9413.60,9417.45,112,9417.665,0,31
173,7/23/2018 12:07,9417.65,9421.75,9417.30,9421.30,187,9420.115,0,35
174,7/23/2018 12:08,9417.50,9424.05,9413.70,9417.95,149,9417.525,0,42
175,7/23/2018 12:09,9420.25,9422.50,9418.10,9418.35,173,9419.585,0,34
176,7/23/2018 12:10,9418.65,9425.05,9418.30,9420.00,465,9420.665,0,47
177,7/23/2018 12:11,9420.20,9425.05,9417.95,9421.05,199,9420.585,0,37
178,7/23/2018 12:12,9421.25,9421.05,9411.90,9418.35,173,9416.915,0,40
179,7/23/2018 12:13,9418.55,9420.05,9411.95,9418.85,188,9418.12,0,37
180,7/23/2018 12:14,9419.05,9421.05,9412.90,9418.85,111,9419.025,0,35
181,7/23/2018 12:15,9419.60,9420.05,9414.95,9419.75,144,9419.46,0,33
182,7/23/2018 12:16,9419.95,9421.05,9412.40,9414.35,139,9417.11,0,38
183,7/23/2018 12:17,9415.65,9419.00,9411.90,9416.05,158,9414.205,0,31
184,7/23/2018 12:18,9418.30,9418.15,9415.30,9415.45,80,9417.685,0,27
185,7/23/2018 12:19,9416.30,9419.00,9415.95,9418.75,93,9418.03,0,25
186,7/23/2018 12:20,9415.65,9419.00,9411.95,9412.10,114,9415.28,0,34
187,7/23/2018 12:21,9412.35,9417.60,9411.90,9414.70,86,9414.63,0,32
188,7/23/2018 12:22,9417.10,9418.05,9411.95,9414.75,120,9415.47,0,30
189,7/23/2018 12:23,9414.60,9414.40,9411.90,9412.70,102,9412.79,0,27
190,7/23/2018 12:24,9413.00,9419.05,9411.90,9416.60,165,9416.01,0,36
191,7/23/2018 12:25,9418.90,9418.75,9412.45,9414.90,113,9414.795,0,31
192,7/23/2018 12:26,9415.10,9419.75,9414.70,9419.75,137,9417.705,0,32
193,7/23/2018 12:27,9419.65,9420.00,9416.85,9417.05,107,9418.605,0,33
194,7/23/2018 12:28,9417.80,9420.00,9415.45,9415.65,104,9418.38,0,32
195,7/23/2018 12:29,9418.75,9420.00,9414.95,9416.10,157,9419.095,0,34
196,7/23/2018 12:30,9414.75,9414.55,9404.95,9408.05,176,9409.745,0,44
197,7/23/2018 12:31,9419.40,9420.00,9406.20,9406.35,174,9414.685,0,42
198,7/23/2018 12:32,9407.00,9412.80,9404.95,9407.05,175,9406.495,0,42
199,7/23/2018 12:33,9408.05,9409.90,9396.05,9403.35,203,9403.72,0,42
200,7/23/2018 12:34,9403.50,9403.30,9399.35,9400.30,155,9401.245,0,44
201,7/23/2018 12:35,9400.50,9404.75,9397.90,9403.95,260,9402.415,0,44
202,7/23/2018 12:36,9404.10,9409.75,9402.15,9405.35,107,9405.225,0,39
203,7/23/2018 12:37,9405.55,9406.00,9403.90,9404.30,121,9405.04,0,33
204,7/23/2018 12:38,9405.25,9405.80,9402.95,9403.10,118,9404.79,0,33
205,7/23/2018 12:39,9404.70,9405.55,9403.10,9404.75,124,9404.205,0,32
206,7/23/2018 12:40,9404.95,9405.00,9401.95,9403.45,211,9403.285,0,35
207,7/23/2018 12:41,9403.65,9405.80,9402.15,9402.30,134,9403.595,0,32
208,7/23/2018 12:42,9404.70,9408.50,9402.90,9408.15,109,9406.365,0,26
209,7/23/2018 12:43,9408.65,9409.05,9407.90,9408.05,156,9408.625,0,34
210,7/23/2018 12:44,9408.25,9408.05,9402.90,9405.05,101,9405.81,0,34
211,7/23/2018 12:45,9405.25,9410.05,9402.90,9410.05,195,9405.31,0,42
212,7/23/2018 12:46,9409.50,9410.05,9399.90,9404.50,234,9404.915,0,42
213,7/23/2018 12:47,9404.20,9404.00,9394.90,9395.10,108,9399.105,0,33
214,7/23/2018 12:48,9395.30,9398.25,9389.10,9389.25,150,9394.6,0,37
215,7/23/2018 12:49,9388.10,9397.75,9387.70,9391.70,172,9392.985,0,24
216,7/23/2018 12:50,9391.90,9399.50,9391.35,9399.50,112,9394.935,0,20
217,7/23/2018 12:51,9395.35,9400.05,9394.85,9400.00,208,9398.07,0,22
218,7/23/2018 12:52,9399.75,9402.05,9399.40,9400.05,320,9400.385,0,32
219,7/23/2018 12:53,9400.25,9407.90,9399.90,9404.00,218,9402.105,0,38
220,7/23/2018 12:54,9404.20,9408.60,9403.20,9403.40,217,9407.21,0,35
221,7/23/2018 12:55,9403.75,9407.75,9395.95,9400.10,152,9402.415,0,36
222,7/23/2018 12:56,9400.30,9405.30,9399.90,9403.05,180,9401.15,0,37
223,7/23/2018 12:57,9405.25,9408.80,9404.20,9408.55,123,9408.005,0,38
224,7/23/2018 12:58,9408.45,9420.05,9408.10,9416.05,246,9412.88,0,43
225,7/23/2018 12:59,9419.05,9420.65,9414.90,9417.95,224,9417.66,0,40
226,7/23/2018 13:00,9419.25,9422.05,9409.95,9417.30,446,9414.975,0,45
227,7/23/2018 13:01,9415.30,9423.05,9414.90,9417.90,186,9419.7,0,49
228,7/23/2018 13:02,9418.10,9420.05,9415.80,9418.25,592,9418.565,0,38
229,7/23/2018 13:03,9420.25,9421.05,9418.10,9418.30,688,9419.355,0,48
230,7/23/2018 13:04,9418.90,9421.05,9414.90,9415.05,533,9418.755,0,50
231,7/23/2018 13:05,9415.25,9424.85,9411.90,9412.10,767,9418.705,0,49
232,7/23/2018 13:06,9412.30,9424.80,9411.90,9415.55,270,9417.225,0,51
233,7/23/2018 13:07,9416.00,9420.05,9413.95,9416.25,109,9417.665,0,29
234,7/23/2018 13:08,9416.45,9429.00,9413.80,9415.60,321,9418.92,0,49
235,7/23/2018 13:09,9415.25,9420.30,9413.80,9419.00,220,9417.17,0,46
236,7/23/2018 13:10,9415.25,9419.00,9399.90,9405.10,389,9409.92,0,51
237,7/23/2018 13:11,9402.40,9406.30,9401.15,9401.30,239,9403.005,0,50
238,7/23/2018 13:12,9401.55,9409.05,9401.15,9402.10,186,9403.605,0,56
239,7/23/2018 13:13,9402.35,9408.00,9401.95,9405.10,94,9405.905,0,36
240,7/23/2018 13:14,9402.80,9409.30,9402.45,9409.05,116,9407.89,0,30
241,7/23/2018 13:15,9409.50,9415.05,9409.15,9415.00,101,9413.205,0,33
